weight,pkg
0000,nimtrs
0000,nimview
0000,nimvisa
0000,nimviz
0000,nimwin
0000,nimx
0000,nimyaml
0000,nimzbar
0000,nimzend
0000,nint128
0000,nio
0000,nish
0000,nitro
0000,niup
0000,njo
0000,nlopt
0000,nmark
0000,nmi
0000,nmiline
0000,noaa
0000,nobject
0000,node
0000,nodem
0000,nodesnim
0000,nofi
0000,noisy
0000,nominatim
0000,nordaudio
0000,nordnet
0000,norman
0000,norx
0000,notcurses
0000,notetxt
0000,notificatcher
0000,notification
0000,notifications
0000,notifishower
0000,notmuch
0000,npg
0000,nptr
0000,nregex
0000,nrpl
0000,nsh
0000,nshout
0000,nsu
0000,ntangle
0000,nuklear
0000,number_files
0000,numnim
0000,numtoword
0000,nvg
0000,nwatchdog
0000,nwsync
0000,nwt
0000,oaitools
0000,oblivion
0000,oculus
0000,odbcn
0000,odsreader
0000,ogham
0000,omnicollider
0000,omnilog
0000,omnimax
0000,once
0000,onedrive
0000,onnxruntime
0000,oolib
0000,oop_utils
0000,opencolor
0000,opencv
0000,open_elevation
0000,opensimplexnoise
0000,openssl_evp
0000,openstreetmap
0000,opentdb
0000,openurl
0000,openweathermap
0000,optionals
0000,options
0000,opusenc
0000,opus
0000,orient
0000,origin
0000,osdialog
0000,oshostname
0000,osrm
0000,osureplay
0000,osutil
0000,otplib
0000,overpass
0000,owlkettle
0000,owo
0000,owoifynim
0000,p4ztag_to_json
0000,packedargs
0000,packets
0000,pantry
0000,paramidib
0000,pari
0000,parsefixed
0000,parsegemini
0000,parseini
0000,parselicense
0000,parsepage
0000,parsesql
0000,pas2nim
0000,pastebin
0000,patgraph
0000,pathname
0000,pcap
0000,pcgbasic
0000,pdba
0000,pdcurses
0000,periapsisengine
0000,perlin
0000,persistent_enums
0000,pfring
0000,pg
0000,pg_util
0000,phoon
0000,phosphor
0000,physfs
0000,pine
0000,pinggraph
0000,pipe
0000,pipelines
0000,pixels
0000,pkginfo
0000,pl0t
0000,platformer
0000,playground
0000,playlists
0000,pledge
0000,plnim
0000,pls
0000,pluginmanager
0000,plugins
0000,plz
0000,pokereval
0000,polymers
0000,polyshards
0000,pomtimer
0000,pop3
0000,porter
0000,ppm
0000,preprod
0000,presto
0000,prettyclr
0000,prettystr
0000,prettyvec
0000,primme
0000,printdebug
0000,procs
0000,progetto
0000,prometheus
0000,prompt
0000,pronimgress
0000,protobuf_serialization
0000,protocoled
0000,proxyproto
0000,psutil
0000,psy
0000,ptest
0000,pvim
0000,pwd
0000,pwned
0000,pwnedpass
0000,py2nim
0000,pych
0000,pykot
0000,pymod
0000,pythonfile
0000,pythonize
0000,pythonmath
0000,pythonpathlib
0000,qeu
0000,qrcodegen
0000,qrcode
0000,qr
0000,qt5_qtsql
0000,quadtree
0000,quickcrypt
0000,quickjs4nim
0000,qwatcher
0000,qwertycd
0000,rabbit
0000,rain
0000,randgen
0000,random_font_color
0000,randpw
0000,rangequeries
0000,ratel
0000,raytracingalgorithm
0000,rbac
0000,rc4
0000,rconv
0000,rdgui
0000,react16
0000,reactorfuse
0000,readfq
0000,receq
0000,records
0000,rect
0000,redisclient
0000,redis
0000,redismodules
0000,redissessions
0000,redpool
0000,redux
0000,redux_nim
0000,reframe
0000,remarker_light
0000,remizstd
0000,remotery
0000,rena
0000,replim
0000,resolv
0000,rest
0000,resultsutils
0000,rethinkdb
0000,retranslator
0000,rexpaint
0000,rfc3339
0000,riff
0000,riimut
0000,ringbuffer
0000,ringdeque
0000,ris
0000,rn
0000,rnim
0000,robotparser
0000,rodcli
0000,rodster
0000,romanim
0000,romans
0000,roots
0000,rpgsheet
0000,rss
0000,rsvg
0000,rtlsdr
0000,rtree
0000,ruby
0000,runeterra_decks
0000,run_exe
0000,sampletodolist
0000,samson
0000,sass
0000,saya
0000,sayhissatsuwaza
0000,sbttl
0000,scgi
0000,schedules
0000,scinim
0000,scnim
0000,scorper
0000,sctp
0000,sdf
0000,sdnotify
0000,sections
0000,selenimum
0000,semaphores
0000,seq2d
0000,seqmath
0000,sequester
0000,sequoia
0000,serial
0000,serialport
0000,seriesdetiempoar
0000,sermon
0000,servclip
0000,servy
0000,sfml
0000,sha1ext
0000,sha3
0000,shaname
0000,shared
0000,sharedmempool
0000,shellopt
0000,shene
0000,shimsham
0000,shiori_charset_convert
0000,shioridll
0000,shiori
0000,shizuka
0000,shlex
0000,shoco
0000,shorteststring
0000,shorturl
0000,signals
0000,simdx86
0000,simhash
0000,simpleargs
0000,simpleast
0000,simpledecimal
0000,simplediff
0000,simpleflake
0000,simple_graph
0000,simple_parseopt
0000,simple_vector
0000,siphash
0000,sitmo
0000,siwin
0000,sixense
0000,skeasing
0000,ski
0000,skinterpolate
0000,sksbox
0000,skybook
0000,slacklib
0000,slap
0000,slappy
0000,slicerator
0000,sliceutils
0000,slimdown
0000,slim
0000,sling
0000,slugify
0000,smbexec
0000,smnar
0000,smoothing
0000,snail
0000,sndfile
0000,sndhdr
0000,snip
0000,socks5
0000,sodium
0000,sol
0000,sonic
0000,sophia
0000,sos
0000,soundex
0000,soundio
0000,spacenav
0000,spacenimtraders
0000,spacy
0000,sparkline
0000,sparseset
0000,spdk
0000,spdx_licenses
0000,spfun
0000,sphincs
0000,sphinx
0000,spinner
0000,spinny
0000,splitmix64
0000,spotify
0000,spry
0000,sprymicro
0000,spurdify
0000,spwd
0000,sqlbuilder
0000,sqliteral
0000,srt
0000,srv
0000,ssh2
0000,ssostrings
0000,sss
0000,ssz_serialization
0000,stage
0000,stalinsort
0000,statistical_tests
0000,statsd_client
0000,stb_truetype
0000,stdarg
0000,steam
0000,steamworks
0000,steganography
0000,stopwatch
0000,stor
0000,streamfix
0000,strenc
0000,stripe
0000,suber
0000,subfield
0000,subnet
0000,subviewer
0000,sue
0000,suffer
0000,sugerror
0000,suggest
0000,sums
0000,sumtypes
0000,sunvox
0000,supranim
0000,surfing
0000,svdpi
0000,svgo
0000,svvpi
0000,swayipc
0000,syllables
0000,symbolicnim
0000,sync
0000,syphus
0000,syscall
0000,sysinfo
0000,syslog
0000,systimes
0000,tagger
0000,taglib
0000,tam
0000,taskman
0000,taskpools
0000,taskqueue
0000,tcl
0000,tcping
0000,teafiles
0000,tecs
0000,telenim
0000,tencil
0000,termbox
0000,termnovel
0000,ternary_tree
0000,testes
0000,testify
0000,testrunner
0000,textformats
0000,texttospeech
0000,tf2plug
0000,the_nim_alliance
0000,thes
0000,threadpools
0000,threadproxy
0000,tic80
0000,tiger
0000,til
0000,timecop
0000,timelog
0000,timerpool
0000,timespec_get
0000,timsort2
0000,tim_sort
0000,tinamou
0000,tinydialogs
0000,tinyfiledialogs
0000,tinypool
0000,tissue
0000,tm_client
0000,tmplpro
0000,tmpnim
0000,tnim
0000,todoist
0000,tokarax
0000,tome
0000,torch
0000,tor
0000,torim
0000,torm
0000,toxcore
0000,translation
0000,trayx
0000,treesitter_agda
0000,treesitter_bash
0000,treesitter_c
0000,treesitter_cpp
0000,treesitter_c_sharp
0000,treesitter_css
0000,treesitter_go
0000,treesitter_haskell
0000,treesitter_html
0000,treesitter_java
0000,treesitter_javascript
0000,treesitter_ocaml
0000,treesitter_php
0000,treesitter_python
0000,treesitter_ruby
0000,treesitter_rust
0000,treesitter_scala
0000,treesitter_typescript
0000,triplets
0000,tsundoku
0000,tsv2json
0000,ttf
0000,ttmath
0000,tuples
0000,tweens
0000,twitter
0000,typelists
0000,uap
0000,ulid
0000,unalix
0000,unchained
0000,uncomment
0000,unicode_numbers
0000,unimcli
0000,union
0000,unit
0000,units
0000,unrolled
0000,unsplash
0000,ups
0000,ur
0000,uri2
0000,uriiy
0000,urlon
0000,urlshortener
0000,usagov
0000,useradd
0000,useragents
0000,userdef
0000,usha
0000,usigar
0000,uspokoysa
0000,ustring
0000,utf8tests
0000,utils
0000,uuid4
0000,uuid
0000,validateip
0000,validation
0000,validator
0000,variantkey
0000,variantsugar
0000,vaultclient
0000,vec
0000,vecio
0000,vecmath
0000,vector
0000,vectors
0000,vidhdr
0000,vkapi
0000,vla
0000,vmprotect
0000,vmvc
0000,vscds
0000,w8crc
0000,wasmrt
0000,watch_for_files
0000,wauto
0000,wave
0000,wayland
0000,wchart
0000,web3
0000,webaudio
0000,webdavclient
0000,webdriver
0000,webgl
0000,webrod
0000,webrtcvad
0000,webterminal
0000,weighted_graph
0000,whip
0000,whois
0000,wiki2text
0000,windy
0000,wings
0000,winimx
0000,winregistry
0000,winres
0000,winserial
0000,winversion
0000,witai
0000,wlroots
0000,woocommerce
0000,word2vec
0000,wox
0000,wpspin
0000,wren
0000,wstp
0000,wttrin
0000,wxnim
0000,wxpay
0000,wyhash
0000,wzeegrid
0000,xcb
0000,xcm
0000,xdo
0000,xevloop
0000,xgboost
0000,xidoc
0000,xkb
0000,xlsxio
0000,xmldom
0000,xmldomparser
0000,xmlio
0000,xom
0000,xors3d
0000,xplm
0000,xpm
0000,xxhash
0000,xxtea
0000,yahooweather
0000,ytextractor
0000,z3
0000,z3nim
0000,zfplugs
0000,zhsh
0000,zxcvbn
0000,zxcvbnim
0001,ajax
0001,alignment
0001,analytics
0001,argon2
0001,asciitype
0001,asyncthreadpool
0001,awk
0001,awssts
0001,basic2d
0001,binarylang
0001,binstreams
0001,bio_seq
0001,bipbuffer
0001,bitty
0001,blarg
0001,blscurve
0001,bluesoftcosmos
0001,brainfuck
0001,c_alikes
0001,cello
0001,chrono
0001,cirru_parser
0001,cirru_writer
0001,clapfn
0001,cli_menu
0001,closure_compiler
0001,cmixer
0001,coco
0001,colorizeecho
0001,colorsys
0001,compactdict
0001,coverage
0001,cppstl
0001,cpuwhat
0001,crc32
0001,css_html_minify
0001,dashing
0001,dbg
0001,decimal
0001,delaunay
0001,deser
0001,dialogs
0001,diffoutput
0001,dimscord
0001,dogapi
0001,duktape
0001,edn
0001,einheit
0001,eminim
0001,eris
0001,eth_common
0001,fab
0001,figures
0001,fowltek
0001,freetype
0001,fsnotify
0001,fswatch
0001,futhark
0001,ggplotnim
0001,gifenc
0001,gintro
0001,glfw
0001,gnuplot
0001,godot
0001,googleapi
0001,htmlunescape
0001,htsparse
0001,httpauth
0001,httpkit
0001,imlib2
0001,inim
0001,iterutils
0001,jscanvas
0001,jstin
0001,kashae
0001,kexpr
0001,klymene
0001,lapper
0001,lazy_rest
0001,lc
0001,libarchibi
0001,libbacktrace
0001,libnotify
0001,libp2p
0001,libssh2
0001,lockfreequeues
0001,loopfusion
0001,lscolors
0001,manu
0001,masterpassword
0001,matext
0001,mcresponse
0001,memo
0001,midnight_dynamite
0001,mime
0001,mongopool
0001,monocypher
0001,moustachu
0001,murmurhash
0001,mutableseqs
0001,mysqlparser
0001,nanovg
0001,nap
0001,ncurses
0001,neoid
0001,nest
0001,netty
0001,networkutils
0001,nicy
0001,nimarrow_glib
0001,nimassets
0001,nimbox
0001,nimclipboard
0001,nimdata
0001,nimes
0001,nimgame2
0001,nimgraphviz
0001,nimlevenshtein
0001,nimly
0001,nimpb_protoc
